radius	csound	density	pressure	Gamma_1	temperature
9.9909930E-001	1.0709505E+006	9.9083811E-007	9.5410110E+005	1.1910969E+000	1.2689719E+004
9.9908870E-001	1.0733257E+006	1.0074348E-006	9.7431609E+005	1.1911875E+000	1.2727035E+004
9.9907810E-001	1.0757044E+006	1.0243329E-006	9.9497515E+005	1.1912824E+000	1.2764355E+004
9.9906740E-001	1.0780886E+006	1.0415327E-006	1.0160886E+006	1.1913798E+000	1.2801680E+004
9.9905660E-001	1.0804788E+006	1.0590395E-006	1.0376660E+006	1.1914809E+000	1.2839012E+004
9.9904580E-001	1.0828749E+006	1.0768586E-006	1.0597172E+006	1.1915857E+000	1.2876353E+004
9.9903500E-001	1.0852771E+006	1.0949960E-006	1.0822525E+006	1.1916952E+000	1.2913705E+004
9.9902400E-001	1.0876853E+006	1.1134577E-006	1.1052826E+006	1.1918097E+000	1.2951071E+004
9.9901310E-001	1.0900986E+006	1.1322506E-006	1.1288181E+006	1.1919284E+000	1.2988452E+004
9.9900200E-001	1.0925171E+006	1.1513800E-006	1.1528698E+006	1.1920511E+000	1.3025851E+004
9.9899100E-001	1.0949404E+006	1.1708514E-006	1.1774490E+006	1.1921767E+000	1.3063269E+004
9.9897980E-001	1.0973671E+006	1.1906735E-006	1.2025672E+006	1.1923046E+000	1.3100708E+004
9.9896860E-001	1.0997964E+006	1.2108553E-006	1.2282355E+006	1.1924363E+000	1.3138171E+004
9.9895740E-001	1.1022266E+006	1.2314070E-006	1.2544660E+006	1.1925716E+000	1.3175658E+004
9.9894610E-001	1.1046562E+006	1.2523403E-006	1.2812712E+006	1.1927119E+000	1.3213173E+004
9.9893480E-001	1.1070838E+006	1.2736666E-006	1.3086632E+006	1.1928582E+000	1.3250717E+004
9.9892340E-001	1.1095067E+006	1.2953993E-006	1.3366541E+006	1.1930112E+000	1.3288294E+004
9.9891190E-001	1.1119234E+006	1.3175534E-006	1.3652570E+006	1.1931733E+000	1.3325906E+004
9.9890040E-001	1.1143318E+006	1.3401417E-006	1.3944846E+006	1.1933452E+000	1.3363557E+004
9.9888880E-001	1.1167431E+006	1.3631392E-006	1.4243509E+006	1.1935202E+000	1.3401251E+004
9.9887720E-001	1.1191615E+006	1.3865393E-006	1.4548694E+006	1.1936959E+000	1.3438987E+004
9.9886550E-001	1.1215877E+006	1.4103486E-006	1.4860545E+006	1.1938732E+000	1.3476770E+004
9.9885380E-001	1.1240208E+006	1.4345744E-006	1.5179201E+006	1.1940510E+000	1.3514599E+004
9.9884200E-001	1.1264623E+006	1.4592199E-006	1.5504819E+006	1.1942284E+000	1.3552477E+004
9.9883020E-001	1.1289115E+006	1.4842912E-006	1.5837533E+006	1.1944044E+000	1.3590405E+004
9.9881830E-001	1.1313680E+006	1.5098007E-006	1.6177514E+006	1.1945810E+000	1.3628383E+004
9.9880640E-001	1.1338312E+006	1.5357571E-006	1.6524912E+006	1.1947587E+000	1.3666414E+004
9.9879440E-001	1.1363003E+006	1.5621733E-006	1.6879894E+006	1.1949390E+000	1.3704499E+004
9.9878240E-001	1.1387741E+006	1.5890600E-006	1.7242609E+006	1.1951226E+000	1.3742639E+004
9.9877030E-001	1.1412514E+006	1.6164316E-006	1.7613233E+006	1.1953108E+000	1.3780836E+004
9.9875810E-001	1.1437307E+006	1.6443020E-006	1.7991933E+006	1.1955047E+000	1.3819092E+004
9.9874590E-001	1.1462103E+006	1.6726867E-006	1.8378886E+006	1.1957049E+000	1.3857410E+004
