radius	csound	density	pressure	Gamma_1	temperature
1.0000187E+000	7.8243189E+005	1.8527144E-007	6.9231213E+004	1.6383233E+000	5.6646184E+003
1.0000093E+000	7.8574771E+005	1.9257677E-007	7.2625475E+004	1.6371224E+000	5.7195958E+003
1.0000000E+000	7.8925512E+005	1.9979759E-007	7.6084760E+004	1.6357894E+000	5.7775075E+003
9.9999650E-001	7.9064092E+005	2.0253139E-007	7.7423167E+004	1.6352344E+000	5.8004406E+003
9.9999310E-001	7.9205619E+005	2.0524044E-007	7.8767911E+004	1.6346531E+000	5.8237677E+003
9.9998960E-001	7.9350826E+005	2.0791684E-007	8.0117672E+004	1.6340458E+000	5.8474905E+003
9.9998620E-001	7.9499976E+005	2.1055444E-007	8.1471065E+004	1.6334093E+000	5.8716081E+003
9.9998290E-001	7.9652951E+005	2.1314854E-007	8.2826539E+004	1.6327384E+000	5.8961182E+003
9.9997960E-001	7.9808511E+005	2.1569936E-007	8.4182410E+004	1.6320217E+000	5.9210154E+003
9.9997630E-001	7.9964591E+005	2.1821040E-007	8.5536826E+004	1.6312397E+000	5.9462919E+003
9.9997310E-001	8.0119834E+005	2.2068261E-007	8.6887852E+004	1.6303811E+000	5.9719376E+003
9.9996990E-001	8.0273544E+005	2.2311426E-007	8.8233548E+004	1.6294403E+000	5.9979417E+003
9.9996680E-001	8.0426151E+005	2.2549988E-007	8.9572040E+004	1.6284275E+000	6.0242930E+003
9.9996370E-001	8.0578394E+005	2.2783192E-007	9.0901366E+004	1.6273515E+000	6.0509786E+003
9.9996070E-001	8.0730436E+005	2.3010492E-007	9.2219629E+004	1.6262119E+000	6.0779826E+003
9.9995770E-001	8.0882216E+005	2.3231413E-007	9.3524903E+004	1.6250041E+000	6.1052867E+003
9.9995480E-001	8.1033575E+005	2.3445552E-007	9.4815256E+004	1.6237241E+000	6.1328700E+003
9.9995200E-001	8.1184188E+005	2.3652562E-007	9.6088719E+004	1.6223655E+000	6.1607074E+003
9.9994920E-001	8.1333693E+005	2.3852151E-007	9.7343346E+004	1.6209226E+000	6.1887705E+003
9.9994650E-001	8.1481708E+005	2.4044090E-007	9.8577424E+004	1.6193888E+000	6.2170325E+003
9.9994390E-001	8.1627807E+005	2.4228225E-007	9.9789418E+004	1.6177573E+000	6.2454668E+003
9.9994130E-001	8.1772033E+005	2.4404415E-007	1.0097791E+005	1.6160381E+000	6.2740444E+003
9.9993880E-001	8.1914563E+005	2.4572555E-007	1.0214148E+005	1.6142485E+000	6.3027342E+003
9.9993640E-001	8.2055114E+005	2.4732556E-007	1.0327887E+005	1.6123853E+000	6.3315033E+003
9.9993400E-001	8.2193325E+005	2.4884384E-007	1.0438895E+005	1.6104434E+000	6.3603180E+003
