M	Y	acoustic_cutoff	delta_nu_scaling	nu_max	radius	age	delta_nu	d_delta_nu	delta_nu_0	d_delta_nu_0	delta_nu_1	d_delta_nu_1	ratio_1	delta_nu_2	d_delta_nu_2	ratio_2	delta_nu_3	d_delta_nu_3	ratio_3
0.8	0.23	7200.39009872882	199.809028872622	5208.50037989401	0.733909714588049	4.57e+09	186.884953625738	3.04073369419442	193.295471942609	0.0953001056832317	193.420540196204	0.0936390213737115	1.00064703147124	193.666878549835	0.0905328429118012	1.00192144494381	194.035026860732	0.0832996861824929	1.00382603332965
0.8	0.23	7305.46225075266	202.108518220257	5216.11501105243	0.729218948309085	72553301.6607639	189.075567735895	3.05004284080252	195.392803176484	0.0994466452717629	195.544830373079	0.0950373805287128	1.0007780593457	195.852233032395	0.0927728372043395	1.00235131411414	196.245345765552	0.0875273326015207	1.00436322410656
0.8	0.24	7228.0114693455	199.446598525546	5154.47155650748	0.734781657519459	4.57e+09	186.358134946042	3.02746001275534	192.827710221502	0.0953388200628337	192.952410101612	0.0950576110534006	1.00064669066478	193.201288884051	0.0906592103474315	1.00193737021572	193.571923649387	0.0847707162333847	1.00385947344928
0.8	0.24	7467.56358521214	204.681417364622	5286.18810351674	0.722841325815406	72347515.6370371	191.453067659222	3.06930183186663	197.865146742385	0.099247148542772	198.016682052564	0.0966960866942759	1.00076585145324	198.329459542681	0.092433666002116	1.00234661236676	198.734695528669	0.0881624812855589	1.00439465363456
0.8	0.25	7243.14802957657	199.041070477549	5098.74585941565	0.735775908850638	4.57e+09	185.807363638642	3.03782738119172	192.341576903324	0.0966167831280842	192.466588925095	0.0963822977948305	1.00064994799244	192.71694124448	0.0920020765471337	1.00195155071098	193.09103935491	0.0861480457254399	1.00389651818215
0.8	0.25	7441.09449614906	203.569397687659	5207.65004437011	0.725477981485536	68756157.9244121	190.22421001225	3.06625454094651	196.662960529581	0.0996959101074837	196.818694843272	0.0969734874068802	1.00079188431453	197.132615474628	0.0930872108362965	1.00238812099535	197.53692861825	0.0889442171284734	1.00444398928154
0.8	0.26	7248.6497373825	198.615239521281	5041.73997483059	0.736854917173465	4.57e+09	185.22540104525	3.04835394917115	191.826741274209	0.0972858574387074	191.952190880497	0.0970317544862709	1.00065397350471	192.204144730886	0.0927204264802793	1.00196741838062	192.5813976586	0.0869044577593918	1.0039340520481
0.8	0.26	7455.64973665294	203.372785329391	5165.68123148928	0.725914399874561	66009158.762875	189.876335242479	3.06310188738575	196.35863995958	0.0995861393618281	196.517032865838	0.0968720495660547	1.00080665106608	196.832852815577	0.0930817766420895	1.00241503432747	197.239966193794	0.0876801257293454	1.00448834965651
0.8	0.27	7236.88968303908	198.035293732645	4980.12017433663	0.738327553404631	4.57e+09	184.462139220243	3.05573561434238	191.124200586225	0.0971548567050519	191.249784730907	0.0968574137785106	1.00065708133401	191.503244139692	0.0926102704081252	1.00198323159655	191.883170733901	0.0868808996383923	1.00397108343867
0.8	0.27	7425.20662166037	202.438366805912	5096.27664739743	0.728157813522044	62865802.3207021	188.831091167129	3.0511365575216	195.34404154643	0.0993740418617899	195.506559747745	0.0951618797054481	1.00083195883544	195.822918460284	0.0930970684404212	1.00245145390698	196.22943071802	0.0878095904236109	1.00453246059916
0.8	0.28	7209.8638159323	197.31422893314	4914.10069499678	0.740181942001933	4.57e+09	183.600035481343	3.06264394785234	190.325516041971	0.0970112032484782	190.450997756492	0.0967578745136065	1.00065930053484	190.705254399336	0.0925227217878616	1.00199520466442	191.088334047593	0.0869118362644434	1.00400796499327
0.8	0.28	7359.80464505071	200.952446269162	5007.0664640114	0.731799974431984	59613675.6708575	187.269426099958	3.05452936210785	193.803918534763	0.0987677815215293	193.970837251048	0.0959204493577474	1.00086127627113	194.286017097034	0.0928747664568351	1.00248755838332	194.689645549547	0.0877769292650729	1.00457022242626
0.8	0.29	7168.91609490565	196.460284504236	4843.96003759042	0.742402337850326	4.57e+09	182.5862438469	3.06714169496749	189.370895513353	0.0962081868776855	189.496127279062	0.0959020798852026	1.00066130418495	189.751327014413	0.0903853501580456	1.00200892275462	190.136592456449	0.0862664655682433	1.00404337182343
0.8	0.29	7316.99132046156	199.985511182707	4938.99127887258	0.734181705209101	56828387.0911643	186.1919073728	3.05241663697303	192.754988148129	0.0975976140330904	192.925655450406	0.0948213631799502	1.00088541056144	193.239938866736	0.0920298245975359	1.00251589192719	193.642825037876	0.0870674183214513	1.00460603846508
0.8	0.3	7112.8707516312	195.420853862582	4768.39447416722	0.74513251468942	4.57e+09	181.411922932198	3.06976762728819	188.254145175091	0.095192819235306	188.379380421116	0.0948505006410514	1.00066524562266	188.63502855796	0.0894158201658262	1.00202324035157	189.022504575966	0.0854421304758553	1.0040815005702
0.8	0.3	7470.43874511898	202.730329340479	5010.57894452366	0.727289582762511	56525629.5420129	188.704669861268	3.08658749731936	195.374896031152	0.0967998523543322	195.546350037703	0.0932908459724499	1.00087756416015	195.863023628567	0.0912602799474836	1.00249841513588	196.278802744944	0.0858753798045378	1.00462652434961
0.8	0.31	7040.28966628606	194.135520138024	4685.79272889998	0.748544677328267	4.57e+09	180.00043615989	3.0688236811465	186.893924978816	0.0940567941315742	187.019344274861	0.0935989882109924	1.00067107208572	187.275281591768	0.088326606413762	1.00204049764055	187.664080271859	0.0845243174623027	1.00412081501916
0.8	0.31	7466.90709173492	202.594949940379	4973.93763035328	0.727580674429384	54314166.1306062	188.447765570707	3.09558971817622	195.167022357351	0.0955884866262023	195.340615999025	0.0924174882208722	1.00088946195713	195.657049291705	0.0903369731455161	1.00251080806806	196.075454629098	0.0850013734499215	1.00465464021931
0.8	0.32	6953.35633015692	192.62397655291	4597.02241913656	0.752601123766694	4.57e+09	178.387005426627	3.08759218567221	185.327711905531	0.0944586430444253	185.454436993363	0.0925525985225894	1.00068378919984	185.709125629389	0.0887500852039147	1.00205805014229	186.099367645523	0.0825798370945493	1.00416373640001
0.8	0.32	7391.65070547008	201.171342997115	4890.77850094713	0.731066014236691	51514772.5165194	186.92738224779	3.08677925262025	193.663997383596	0.0940651919793791	193.838913707839	0.091030450648573	1.00090319484574	194.154557415477	0.087812306801263	1.00253304712548	194.571034987412	0.0840962950766054	1.00468356336784
0.8	0.33	6847.92137335271	190.764746636131	4498.97566680335	0.75764816030388	4.57e+09	176.427541480878	3.07798256597705	183.402457078899	0.0934567102220905	183.531306083292	0.0913205461713664	1.00070254786356	183.784970521684	0.0878286147602491	1.00208565058984	184.174977167943	0.0818928490046265	1.00421215779411
0.8	0.33	7297.29880592919	199.396706095996	4797.64766255934	0.735476482119084	48765202.8371973	185.116638844746	3.08494657983179	191.864215009555	0.0927921027598768	192.040332898561	0.0911988582504352	1.00091792984428	192.354580192649	0.0869327011370265	1.00255579281978	192.767420623212	0.0835403064671975	1.00470752512974
0.9	0.23	6540.74278481062	182.344908806929	4544.93399466083	0.812333226774873	4.57e+09	169.769166199497	2.82094281446264	175.845318195297	0.0968678068893621	175.960490258138	0.0952867270309911	1.00065496235	176.19402235874	0.0914481942965769	1.00198301647734	176.547123018955	0.0866050972084802	1.00399103502363
0.9	0.23	6896.79789566773	189.897852345354	4792.59222439085	0.790859779786048	59610506.2548946	177.234031530012	2.84917606525649	183.190044810704	0.09749889341942	183.347019803092	0.0955280818907701	1.00085689695938	183.637955317145	0.0910394527357338	1.00244505921107	184.018813976559	0.0885916322526907	1.00452409500042
